_id	laotian	kana	japanese	roman	situation	lesson
68	ລາກ່ອນ		さようなら		textbook	
69	ລາວ		ラオス、彼/彼女		textbook	
70	ແລ້ວ		(作業などが)終わる		textbook	
71	ເວົ້າ		話す		textbook	
72	ວຽກ		仕事、用事		textbook	
73	ຫາກໍ່ (V)		(V) したばかり		textbook	
74	ຫໍພັກ		寮		textbook	
75	ຫ້ອງຮຽນ		教室		textbook	
76	ຫ້ອງການ		事務所、オフィス		textbook	
77	ອາສາສຳໝັກ		ボランティア		textbook	
78	ອາຈານ		先生、教師		textbook	
79	ອາທິດ		週		textbook	
80	ອັງກິດ		英語		textbook	
81	ຮຽນ		学ぶ、勉強する、習う		textbook	
82	ເຮັດວຽກ, ເຮັດການ		仕事する		textbook	
83	ເຮືອນ		家		textbook	
84	ກະລຸນາ		お願いします／(Ｖ)して下さい		textbook	
85	ກະດານ		黒板		textbook	
86	ໃກ້		近い		textbook	
87	ກຶ້ນ (ເທິງ)		（上に）上がる		textbook	
88	ຄອມພິວເຕີ		コンピュータ		textbook	
89	ເຄືອງພິມ, ພິນເຕີ		プリンタ		textbook	
90	ງາມ		美しい、、きれい		textbook	
91	ສໍດຳ		鉛筆		textbook	
92	ຊິ / ຈະ		～つもり		textbook	
93	ຊັ້ນ (ເທິງ / ລຸ່ນ)		～階（上の階／下の階）		textbook	
94	ຍ່າງ		歩く		textbook	
95	ດຳລົງຊີວິດ		生活する		textbook	
96	ຕະຫຼາດ		市場		textbook	
97	ຕໍ່ໄປ		次		textbook	
98	ຕູ້		たんす		textbook	
99	ໂຕະ		机		textbook	
100	ຕັ່ງ		椅子		textbook	
101	ທີ່ນີ້ / ທີ່ນັ້ນ		ここ／そこ		textbook	
102	ເທັບ / ຊີດີ		テープ／ＣＤ		textbook	
103	ທາງ		道路、道		textbook	
104	ນີ້ / ນັ້ນ		これ／それ		textbook	
105	ແນະນຳ		紹介する		textbook	
106	ນາງພະນຍາບານ		看護婦		textbook	
107	ນັກສົນລະບະທານ		灌漑設備師		textbook	
108	ບັນຫາ		問題		textbook	
109	ບິກ		ボールペン		textbook	
110	ບອກ		言う、伝える（tell）		textbook	
111	ປະທູ		ドア		textbook	
