_id	yomi	wordJpn	wordLao	typeLaoScript
67	あか	赤	ສີແດງ	sii daeng
68	あかい	赤い	ແດງ	daeng
69	あかがい	赤貝	ຫອຍແຄງ	hhohy khaeng
70	あかしあ	アカシア	(ຈຳພວກ)ຕົ້ນກະຖິນ	ton2 ka htin
71	あかちゃん	赤ちゃん	ເດັກນ້ອຍເກີດໃຫມ່	dek nohy2 kert hmay1
72	あかり	明かり	ແສງໄຟ	saeng fai
73	あがる	上がる	ຂຶ້ນ	hkuen2
74	あかるい	明るい	ສະຫວ່າງ	sa hvaang1
75	あかるい	明るい	ແຈ້ງ	jaeng2
76	あかるい	明るい	ໄສ	sai
77	あかわいん	赤ワイン	ວາຍແດງ	waay daeng
78	あかをこする	垢を擦る	ຖູຂີ້ໄຄ	htuu hkii2 khai
79	あかんぼう	赤ん坊	ເດັກນ້ອຍເກີດໃຫມ່	dek nohy2 kert hmay1
80	あき	空き（場所）	(ສະຖານທີ່)ວ່າງ	waang1
81	あき	空き（時間）	(ເວລາ)ຫວ່າງ	hvaang1
82	あき	秋	ລະດູໃບໄມ້ລົ່ນ	la duu bay mai2 lon1
83	あきあき	あきあき	ເປັນຕາເມື່ອຍ	pen taa meuay1
84	あきなう	商う	ຂາຍຂອງ	hkaay hkohng
85	あきなう	商う	ຄ້າ	khaa2
86	あきらか	明らか	ກະຈ່າງແຈ້ງ	ka jaang1 jaeng2
87	あきらか	明らか	ແນ່ໃຈ	nae1 jay
88	あきらめる	諦める	ຍຸດ	nyut
89	あきらめる	諦める	ຕັດໃຈ	tat jay
90	あきらめる	諦める	ເຊົາ	xao
91	あきらめる	諦める	ເລີກ	lerk
92	あきる	飽きる	ເບື່ອ	beua1
93	あきる	飽きる	ເບື່ອຫນ່າຍ	beua1 hnaay1
94	あきれすけん	アキレス腱	ເອັນສົນຫມອງ	en son hmohng
95	あく	悪	ຄວາມບໍ່ດີ	khwaam boh1 dii
96	あく	悪	ຄວາມສົ່ວ	khwaam xua1
97	あく	空く	ວ່າງ	waang1
98	あく	開く	ເປີດ	pert
99	あくしゅ	握手	ຈັບມື	jap meu
100	あくせさりー	アクセサリー	ເຄື່ອງປະດັບ	kheuang1 pa dap
101	あくせさりー	アクセサリー	ເຄື່ອງປະດັບກາຍ	kheuang1 pa dap kaay
102	あくせる	アクセル	ຄັນເລ່ງ	khan leeng1
103	あくせるをふむ	アクセルを踏む	ເລັ່ງ	leng1
104	あくにん	悪人	ຜູ້ຮ້າຍ	hpuu2 haay2
105	あくび	欠伸	ຫາວ	hhaaw
106	あくま	悪魔	ປີສາດຮ້າຍ	pii saat haay2
107	あくむ	悪夢	ຝັນຮ້າຍ	hfan haay2
108	あくりょう	悪霊	ປີສາດຮ້າຍ	pii saat haay2
109	あけましておめでとう	あけましておめでとう	ສະບາຍດີປີໃຫມ່	sa baay dii pii hmay1
110	あける	開ける	ເປີດ	pert
111	あける	開ける	ໄຂ	hkai
112	あげる	揚げる	ຈືນ	jeun
113	あげる	上げる	ຍົກ	nyok
114	あげる	上げる	ຍົກຂື້ນ	nyok hkeun2
115	あげる	揚げる	ທອດ	thoht
116	あげる	吐げる	ຮາກ	haak
117	あげる	あげる	ເອົາໃຫ້	ao hhay2
118	あげる	（～して）あげる	ເຮັດເພື່ອ	het
119	あげる	あげる	ໃຫ້	hhay2
120	あご	顎	ຄາງ	khaang
121	あこがれる	憧れる	ຊອກຫາ	xohk hhaa
122	あこがれる	憧れる	ໃຝ່ຫາ	hfay1 hhaa
123	あさ	朝	ຕອນເຊົ້າ	tohn xao2
124	あさ	麻	ຜ້າປ່ານ	hpaa2 paan1
125	あさ	朝	ມື້ເຊົ້າ	meu2 xao2
126	あざ	痣	ປານ	paan
127	あさい	浅い	ຕື້ນ	teun2
128	あさいち	朝市	ຕະຫລາດຕອນເຊົ້າ	ta hlaat tohn xao2
129	あさがお	朝顔/アサガオ	ດອກບານເຊົ້າ	dohk baan xao2
130	あさごはん	朝ご飯	ອາຫານເຊົ້າ	aa hhaan xao2
131	あさって	あさって	ມື້ຮື	meu2 heu
132	あさねぼう	朝寝坊	ຕື່ນສວຍ	teun1 suay
133	あさひ	朝日	ຕາເວັນຂື້ນ	taa wen hkeun2
134	あざむく	欺く	ຫລອກ	hlohk
135	あざやか	鮮やか	ສົດໃສ	sot say
136	あざらし	アザラシ	ແມວນ້ຳ	maew nam2
137	あし	脚	ຂາ	hkaa
138	あし	足	ຕີນ	tiin
139	あじ	味	ລົດຊາດ	lot xaat
140	あじあ	アジア	ອາຊີ	aa xii
141	あしあと	足跡	ຮອຍຕີນ	hohy tiin
142	あしうらまっさーじ	足裏マッサージ	ນວດຕີນ	nuat tiin
143	あしうらまっさーじ	足裏マッサージ	ນວດຝາຕີນ	nuat hfaa tiin
144	あじがうすい	味がうすい	ຈາງ	jaang
145	あした	あした	ມື້ອື່ນ	meu2 eun1
146	あじつけ	味付け	ປຸງລົດຊາດ	pung lot xaat
147	あしのうら	足の裏	ຝາຕີນ	hf tiin
148	あしのつめ	足の爪	ເລັບຕີນ	lep tiin
149	あじのもと	味の素	ແປ້ງນົວ	paeng2 nua
150	あしのゆび	足の指	ໂປ້ຕີນ	po2 tiin
151	あしぶみ	足踏み	ຢຽບຕີນ	yiap tiin
152	あじみ	味見	ຊີມ	xiim
153	あじわう	味わう	ຊີມລົດ	xiim lot
154	あす	あす	ມື້ອື່ນ	meu2 eun1
155	あずかる	預かる	ຝາກ	hfaak
156	あずかる	預かる	ຮັບ	hap
157	あずかる	預かる	ເອົາໄສ່	ao sai1
158	あずき	小豆	ຫມາກຖົ່ວດຳ	hmaak htua1 dam
159	あずける	（お金を）預ける	ຝາກ(ເງິນ)	hfaak ngoen
160	あずける	預ける	ຝາກໄວ້	hfaak wai2
161	あすぱらがす	アスパラガス	ຫນໍ່ໄມ້ຝຣັ່ງ	hnoh1 mai2 hfrang1
162	あすぴりん	アスピリン	ແອສໄພຣິນ	aes phai rin
163	あすふぁると	アスファルト	ຢາງຫມາກຕອຍ	yaang hmaak tohy
164	あせ	汗	ນ້ຳເຫື່ອ	nam2 hheua1
165	あせる	焦る	ພ້າວ	phaaw2
166	あぜるばいじゃん	アゼルバイジャン	ອາແຊກໄປຢັງ	aa xaek pai yang
167	あそこ	[こそあど]	ທີ່ນັ້ນ	thii1 nan2
168	あそこ	[こそあど]	ທາງພຸ້ນ	thaang phun2
169	あそこ	[こそあど]	ພຸ້ນ	phun2
170	あそこ	[こそあど]	ຫັ້ນ	hhan2
171	あそこで	[こそあど]	ຢູ່ນັ້ນ	yuu1 nan
172	あそこで	[こそあど]	ຢູ່ພຸ້ນ	yuu1 phun2
173	あそこに	[こそあど]	ຢູ່ນັ້ນ	yuu1 nan
174	あそこに	[こそあど]	ຢູ່ພຸ້ນ	yuu1 phun2
175	あそこの	[こそあど]	ພຸ້ນ	phun2
176	あそび	遊び	ຫລິ້ນ	hlin2
177	あそびば	遊び場	ເດີ່ນຫລິ້ນ	dern1 hlin2
178	あそぶ	遊ぶ	ຫລິ້ນ	hlin2
179	あだ	仇	ສັດຕູ	sat tuu
180	あたい	値	ຄຸນຄ່າ	khum khaa1
181	あたえる	与える	ໃຫ້	hhay2
182	あたたかい	暖かい	ອຸ່ນ	un1
183	あたたかい	暖かい	ອົບອຸ່ນ	op un1
184	あたたかな	暖かな	ອຸ່ນ	un1
185	あたたまる	暖まる	ເຮັດໃຫ້ອຸ່ນ	het hhay2 un1
186	あたためる	温める	ເຮັດໃຫ້ອຸ່ນຂຶ້ນ	het hhay2 un1 hkuen2
187	あたま	頭（=脳）	ສະຫມອງ	sa hmohng
188	あたま	頭	ຫົວ	hhua
189	あたまきん	頭金	ເງິນດາວ	ngoen daaw
190	あたらしい	新しい	ໃຫມ່	hmay1
191	あたり	辺り	ຢູ່ໃກ້ໆ	yuu1 kay2 #
192	あたり	あたり	ໃກ້ໆ	kay2 #
193	あたりまえ	あたり前	ປົກກະຕິ	pok ka ti
194	あたる	当たる	ຕຳ	tam
195	あたる	（～に）当たる	ຖາມ	htaam
196	あだをうつ	仇を討つ	ແກ້ສັດຕູ	kae2 sat tuu
197	あちら	[こそあど]	ທີ່ນັ້ນ	thii1 nan2
198	あちら	[こそあど]	ອັນນັ້ນ	an nan2
199	あっ	あっ	ອາ	aa
200	あつあげ	厚揚げ	ເຕົ້າຮູ້ຈືນ	tao2 huu2 jeun
201	あつい	厚い	ຕຶບ	tuep
202	あつい	厚い	ຫນາ	hnaa
203	あつい	暑い/熱い	ຮ້ອນ	hohn2
204	あつかう	扱う	ຄວບຄຸມ	khuap khum
205	あつかましい	厚かましい	ຫນ້າດ້ານ	hnaa2 daan2
206	あつかましい	厚かましい	ຫນ້າມຶນ	hnaa2 muen
207	あつさ	厚さ	ຄວາມຫນາ	khuaam hnaa
208	あつさ	熱さ/厚さ	ຄວາມຮ້ອນ	khwaam hohn2
209	あっち	[こそあど]	ທີ່ນັ້ນ	thii1 nan2
210	あっち	[こそあど]	ອັນນັ້ນ	an nan2
211	あっというまに	あっという間に	ທັນທີທັນໃດ	than thii than day
212	あつまり	集まり	ຊຸມນຸມ	xum kum
213	あつまる	集まる	ຮ່ວມກັນ	huam1 kan
214	あつめる	集める	ທ້ອນໂຮມ	thohn2 hoom
215	あてさき	宛先	ສົ່ງເຖິງ	song1 htoeng
216	あてな	宛名	ຊື່ຜູ້ຮັບຈົດຫມາຍ	xeu1 hpuu2 hap jot hmaay
217	あてる	当てる	ຖືກ	hteuk
218	あてる	当てる	ເຮັດໃຫ້ຖືກເປົ້າຫມາຍ	het hhay2 hteuk pao2 hmaay
219	あてる	充てる	ແຈກຢາຍ	jaek yaay
220	あと	（～の）後（で、に）	ຈາກ(ນັ້ນ)	jaak nan2
221	あと	あと	ຍັງເຫລືອ	nyang hleua
222	あと	後	ຫລັງ	hlang
223	あと	（～の）後（で、に）	ຫລັງຈາກ(ນັ້ນ)	hlang jaak nan2
224	あと	跡	ຮອຍ	hohy
225	あとから	（～た）後から	ຫລັງຈາກ(~ແລ້ວ)	hlang jaak laew2
226	あとで	あとで	ຕາມຫລັງ	taam hlang
227	あとで	あとで	ທີຫລັງ	thii hlang
228	あとで	あとで	ໂອກາດຫນ້າ	oo kaat hnaa2
229	あな	穴	ຮູ	huu
230	あなうんさー	アナウンサー	ຜູ້ອ່ານຂ່າວ	hpuu2 aan1 hkaaw1
231	あなうんさー	アナウンサー	ໂຄສົກ	khoo sok
232	あなた	あなた	ເຈົ້າ	jao2
233	あなたたち	あなた達	ພວກເຈົ້າ	phuak jao2
234	あなどる	侮る	ດູຖູກ	duu htuuk
235	あに	兄	ອ້າຍ	aay2
236	あにめ	アニメ	ກາຕູນເຄື່ອນໃຫວ	kaa tuun kheuan1 hvay
237	あね	姉	ເອື້ອຍ	euay2
238	あの	[こそあど]	ນັ້ນ	nan2
239	あのう	あのう	ອັນນາ	an naa
240	あのくらい	[こそあど]	ດົນປານນັ້ນ	don paan nan2
241	あのころ	あの頃	ຕອນນັ້ນ	tohn nan2
242	あのとき	あの時	ຂະນະນັ້ນ	hka na nan2
243	あのような	[こそあど]	ຊະນິດນັ້ນ	xa nit nan2
244	あのように	[こそあど]	ຢ່າງນັ້ນ	yaang1 nan2
245	あのようにして	[こそあど]	ແນວນັ້ນ	naew nan2
246	あぱーと	アパート	ຫ້ອງໃຫ້ເຊົ່າ	hhohng2 hhay2 xao1
247	あばく	暴く	ເປີດເຜີຍ	pert hpery
248	あばらぼね	あばら骨	ກະດູກຂ້າງ	ka duuk hkaang2
249	あばれる	暴れる	ອາລະວາດ	aa la waat
250	あびせる	浴びせる	ຫົດ	hhot
251	あひる	アヒル	ເປັດ	pet
252	あびる	浴びる	ອາບ	aap
253	あふがにすたん	アフガニスタン	ອັບການິສະຖານ	ap kaa ni sa htaan
254	あぶない	危ない	ອັນຕະລາຍ	an ta laay
255	あぶら	油	ນ້ຳມັນ	nam2 man
256	あぶらえ	油絵	ຮູບພາບສີນ້ຳມັນ	huup phaap sii nam2 man
257	あぶらげ	油揚げ	ເຕົ້າຮູ້ຈືນ	tao2 huu2 jeun
258	あふりか	アフリカ	ອາຝະລິກກາ	aa hfa lik kaa
259	あぶる	炙る	ປີ້ງ	piing2
260	あへん	アヘン	ຝິ່ນ	hfin1
261	あほ	阿呆	ຄົນໂງ່	khon ngoo1
262	あほ	阿呆	ຈ້າ	jaa2
263	あほ	阿呆	ໂງ່	ngoo1
264	あぼかど	アボカド	ຫມາກອາໂວຄາໂດ	hmaak aa woo khaa doo
265	あま	尼（さん）	ແມ່ຊີ	mae1 xii
266	あまい	甘い	ຫວານ	hvaan
267	あまえる	甘える	ເອົາແຕ່ໃຈ	ao tae1 jay
268	あまがえる	雨蛙	ຂຽດ	hkiat
269	あまがさ	雨傘	ຮົ່ມກັນຝົນ	hom1 kan hfon
270	あまずっぱい	甘酸っぱい	ສົ້ມຫວານ	som2 hvaan
271	あまちゅあ	アマチュア	ສະຫມັກຫລິ້ນ	sa hmak hlin2
272	あまのかわ	天の川	ທາງຊ້າງເຜືອກ	thaang xaang2 hpeuak
273	あまみず	雨水	ນ້ຳຝົນ	nam2 hfon
274	あまもり	雨漏り	ຝົນຮົ່ວ	hfon hua1
275	あまやかす	甘やかす	ຕາມໃຈ	taam jay
276	あまり	あまり（～く）ない	ບໍ່ຄ່ອຍ	boh1 khohy1
277	あまり	あまり	ບໍ່ຫລາຍ	boh1 hlaay
278	あまり	余り	ສ່ວນເຫລືອ	suan1 hleua
279	あまりない	あまり（～ない）	ບໍ່ປານໃດ	boh1 paan day
280	あまる	余る	ຍັງເຫລືອ	nyang hleua
281	あまる	余る	ເຫລືອ	hleua
282	あみ	網	ຕາຫນ່າງ	taa hnaang1
283	あみど	網戸	ມຸ້ງລວດ	mung2 luat
284	あむ	編む	ຖັກ	htak
285	あむ	編む	ສານ	saan
286	あめ	雨	ຝົນ	hfon
287	あめ	雨	ຝົນຕົກ	hfon tok
288	あめ	飴	ເຂົ້າຫນົມອົມ	hkao2 hnom om
289	あめーば	アメーバ	ໂຕອາມີບາ	too aa mii baa
290	あめふり	雨降り	ຝົນຕົກ	hfon tok
291	あめりか	アメリカ	ອາເມຣິກາ	aa mee ri kaa
292	あめりかがっしゅうこく	アメリカ合衆国	ສະຫະລັດອາເມຣິກາ	sa hha lat aa mee ri kaa
293	あやうい	危うい	ອັນຕະລາຍ	an ta laay
294	あやしい	怪しい	ຫນ້າສົງໃສ	hnaa2 song say
295	あやしむ	怪しむ	ສົງໃສ	song say
296	あやつる	操る	ຄວບຄຸມ	khuap khum
297	あやまち	過ち	ບາບ	baap
298	あやまる	謝る	ຂໍອະໄພ	hkoh a phai
299	あやまる	謝る	ຂໍໂທດ	hkoh thoot
300	あらい	荒い	ບໍ່ລຽບ	boh1 liap
301	あらい	粗い	ຫຍາບ	hyaap
302	あらう	洗う	ຊັກ	xak
303	あらう	洗う	ລ້າງ	laang2
304	あらう	洗う	ສະ	sa
305	あらし	嵐	ພະຍຸ	pha nyu
306	あらすじ	粗筋	ສະຫລຸບຄວາມ	sa hlup khwaam
307	あらそう	争う	ຜິດຖຽງກັນ	hpit htiang kan
308	あらた	新た	ໃຫມ່	hmay1
309	あらためる	改める	ກວດແກ້	kuat kae2
310	あらためる	改める	ເລີມໃຫມ່	lerm hmai1
311	あらぶしゅちょうこくれんぽう	アラブ首長国連邦	ເອມີຣັດອາຣັບ	ee mii rat aa rap
312	あられ	霰	ຫມາກເຫັບ	hmaak hhep
313	あらわす	表す	ສະແດງອອກມາ	sa daeng ohk maa
314	あらわれる	現れる	ປະກົດຂື້ນ	pa kot hkeun2
315	あり	蟻/アリ	ມົດ	mot
316	ありがとう	ありがとう	ຂອບໃຈເດີ	hkohp jay der
317	ありがとうございます	ありがとうございます	ຂອບໃຈຫລາຍໆເດີ	hkohp jay hlaay # der
318	ありづか	蟻塚	ຈອມປວກ	johm puak
319	ある	（～が）ある	ມີ	mii
320	ある	（～が）ある	ຢູ່	yuu1
321	ある	（～て）ある	ແລ້ວໆ	laew2 #
322	あるいは	あるいは	ຫລືວ່າ	hleu waa1
323	あるく	歩く	ຍ່າງ	nyaang1
324	あるこーる	アルコール	ເຫລົ້າ90	hlao2 kao2 sip
325	あるこーるちゅうどく	アルコール中毒	ຕິດເຫລົ້າ	tit hlao2
326	あるこーるらんぷ	アルコール・ランプ	ຕະກຽງເຫລົ້າ	ta niang hlao2
327	あるじ	あるじ	ນາຍ	naay
328	あるじぇりあ	アルジェリア	ອານເຊຣີ	aan xee rii
329	あるぜんちん	アルゼンチン	ອາກຊັງຕິນ	aak sang tin
330	あるばいと	アルバイト	ວຽກບໍ່ເຕັມເວລາ	wiak boh1 tem wee laa
331	あるばにあ	アルバニア	ອານບານີ	aan baa nii
332	あるばむ	アルバム	ອັນລະບ້ຳໃສ່ຮູບ	an la bam2 say1 huup
333	あるひ	ある日	ບາງມື້	baang meu2
334	あるひ	ある日	ມື້ໃດມື້ຫນຶ່ງ	meu2 day meu2 hnueng1
335	あるみ	アルミ	ອະລູມີນຽມ	a luu mii niam
336	あるめにあ	アルメニア	ອາກເມເນຍ	aak mee nia
337	あれ	[こそあど]	ອັນນັ້ນ	an nan2
338	あれくらい	[こそあど]	ປານນັ້ນ	paan nan2
339	あれだけ	[こそあど]	ເທົ່ານັ້ນ	thao1 nan2
340	あれほど	[こそあど]	ສ່ຳນັ້ນ	sam1 nan2
341	あれら	[こそあど]	ທັງຫມົດນັ້ນ	thang hmot nan2
342	あれるぎー	アレルギー	ພຸມແພ້	phum phae2
343	あわ	泡	ຟອງ	fohng
344	あわい	淡い	ອ່ອນ	ohn1
345	あわせる	合わせる	ລວມກັນ	luam kan
346	あわただしい	慌ただしい	ບໍ່ຫວ່າງ	boh1 hvaang1
347	あわだてき	泡だて器	ເຄື່ອງຕີໄຂ່	kheuang1 yii hkai1
348	あわてて	慌てて	ຕື່ນເຕັ້ນ	teun1 ten2
349	あわてる	慌てる	ພ້າວ	phaaw2
350	あわれ	哀れ	ສົງສານ	song saan
351	あわれむ	哀れむ	ຮູ້ສືກເສຍໃຈ	huu2 seuk sia jay
352	あんき	暗記	ຈື່	jeu1
353	あんけーと	アンケート	ແບບສອບຖາມ	baep sohp htaam
354	あんごら	アンゴラ	ອັງໂກລາ	ang koo laa
355	あんさつ	暗殺	ລອບຂ້າ	lohp hkaa2
356	あんざん	暗算	ຄິດເລກໃນໃຈ	khit leek nay jay
357	あんしつ	暗室	ຫ້ອງມືດ	hhohng2 meut
358	あんしょうばんごう	暗証番号	ລະຫັດລັບ	la hhat lap
359	あんじる	案じる	ເປັນຫ່ວງ	pen hhuang1
360	あんしん	安心	ວາງໃຈ	waang jay
361	あんぜん	安全	ປອດໄພ	poht phai
362	あんぜんちたい	安全地帯	ເຂດປອດໄພ	hkeet poht phai
363	あんぜんぴん	安全ピン	ເຂັມຄັດ	hkem khat
364	あんだーしゃつ	アンダー・シャツ	ເສື້ອກ້າມ	seua2 kaam2
365	あんてい	安定	ເຮັດໃຫ້ທ່ຽງ	het hhay2 thiang1
366	あんてぃーく	アンティーク	ວັດຖຸບູຮານ	wat htu buu haan
367	あんてぃぐあばぶーだ	アンティグア・バブーダ	ອັງຕີກາບາກບູດາ	an tii kaa baak buu daa
368	あんてな	アンテナ	ສາຍອາກາດ	saay aa kaat
369	あんどら	アンドラ	ອັງດໍ	ang doh
370	あんな	[こそあど]	ຊະນິດນັ້ນ	xa nit nan2
371	あんない	案内	ຊີ້ທາງ	xii2 thaang
372	あんないがかり	案内係	ໂຕະປະຊາສຳພັນ	to pa xaa sam phan
373	あんなに	[こそあど]	ແບບນັ້ນ	baep nan2
374	あんなふうに	[こそあど]	ຄືນັ້ນ	keu nan2
375	あんなふうにして	[こそあど]	ແບບນັ້ນ	baep nan2
376	あんぺあ	（～）アンペア	ແອມ	aem
377	あんま	按摩	ນວດ	nuat
378	い	胃	ກະເພາະ	ka pho'
379	い	胃	ກະເພາະ(ອາຫານ)	ka pho' aa hhaan
380	いありんぐ	イアリング	ຕຸ້ມຫູ	tum2 hhuu
381	いい	良い	ດີ	dii
382	いいえ	いいえ	ບໍ່	boh1
383	いいえ	いいえ（そうでもない）	ບໍ່ດອກ	boh1 dohk
384	いいえ	いいえ	ບໍ່ແມ່ນ	boh1 maen1
385	いいかえる	言い替える	ໃຊ້ແບບໃຫມ່	xay2 baep hmay1
386	いいかおり	いい香り	ກິ່ນຫອມ	kin1 hhohm
387	いいかげん	いい加減	ບໍ່ຮຽບຮ້ອຍ	boh1 hiap hohy2
388	いいなずけ	許婚	ຄູ່ຫມັ້ນ	khuu1 hman2
389	いいはる	言い張る	ຮັກສາທີເດີມ	hak saa thii derm
390	いーめーる	Ｅ・メール	ອີເມວ	ii meew
391	いいわけ	言い訳	ແກ້ຕົວ	kae2 tua
392	いいん	委員	ກຳມະການ	kam ma kaan
393	いいん	医院	ຄລີນິກ	khlii nik
394	いいんかい	委員会	ຄະນະກຳມະການ	kha na kam ma kaan
395	いいんちょう	委員長	ປະທານກຳມະການ	pa thaan kam ma kaan
396	いう	言う	ບອກ	bohk
397	いう	言う	ລົມ	lom
398	いう	言う	ເວົ້າ	wao2
399	いうことをきかない	言うことを聞かない	ດື້	deu2
400	いえ	家	ເຮືອນ	heuan
401	いえき	胃液	ນ້ຳຍ່ອຍອາຫານ	nam2 nyohy1 aa haan
402	いえすきりすと	イエス・キリスト	ພະເຢຊູ	pha yee xuu
403	いえのしきち	家の敷地	ບ້ານ	baan2
404	いえめん	イエメン	ເຢແມນ	yee maen
405	いえん	胃炎	ກະເພາະອັກເສບ	ka pho' ak sep
406	いおう	硫黄	ທາດກຳມະຖັນ	thaat kam ma htan
407	いか	イカ	ປາອີຮື	paa ii heu
408	いか	イカ	ປາເຫມິກ	paa hmoek
409	いか	以下	ຫນ້ອຍກວ່າ	hnohy2 kwaa1
410	いがい	以外	ນອກຈາກ	nohk jaak
411	いがい	以外	ນອກຈາກນີ້	nohk jaak nii2
412	いかいよう	胃潰瘍	ແຜໃນກະເພາະ	hpae nay ka pho'
413	いがく	医学	ແພດສາດ	phaet saat
414	いかす	生かす	ໃຊ້ໃຫ້ເປັນປະໂຫຍດ	xay2 hhay2 pen pa hyoot
415	いかだ	筏	ແພ	phae
416	いかめら	胃カメラ	ຫ້ອງກວດກະເພາະ	hhohng 2 kuat ka pho'
417	いかり	錨	ສະຫມໍ	sa hmoh
418	いき	息	ລົມຫາຍໃຈ	lom hhaay jay
419	いき	息	ໃຈ	jay
420	いき	行き	ໄປ	pai
421	いきおい	勢い	ກຳລັງຄວາມແຮງ	kam lang khwaam haeng
422	いきなり	いきなり	ທັນໃດ	than day
423	いきもの	生き物	ສິ່ງທີ່ມີຊີວິດ	sing1 thii1 mii xii wit
424	いぎりす	イギリス	ອັງກິດ	ang kit
425	いきる	生きる	ມີຊີວິດຢູ່	mii xii wit yuu1
426	いきる	生きる	ຢູ່ຕໍ່ໄປ	yuu1 toh1 pai
427	いく	幾	ຈັກ	jak
428	いく	行く	ໄປ	pai
429	いくさ	戦	ສົງຄາມ	song khaam
430	いくつ	いくつ	ທໍ່ໃດ	thoh1 day
431	いくつ	いくつ	ເທົ່າໃດ	thao1 day
432	いくつか	いくつか	ຫນ້ອຍຫນຶ່ງ	hnohy2 hnueng1
